2022-09-30,송파소호정,"322,000",12
2022-11-01,샛집남원추어탕,"85,000",6
2022-11-02,수가성순두부전문점,"97,000",8
2022-11-03,（주）서두산딤섬만두,"92,500",4
2022-11-04,롯데물산（주）롯데월,"84,000",4
2022-11-07,무안뻘낙지,"278,000",10
2022-11-08,일일향,"184,500",7
2022-11-09,승일참치,"168,000",12
2022-11-10,사랑채,"290,000",10
2022-11-10,금강민물장어,"220,000",8
2022-11-11,천미미,"70,000",3
2022-11-14,팔진향방이점（주,"171,000",8
2022-12-02,송파시니어클럽,"19,500",2
2022-12-02,송파시니어클럽,"30,000",3
2022-12-08,송파소호정,"231,000",8
2022-12-09,두물머리 해장국,"96,000",8
2022-12-09,커피베이 송파여성문,"34,100",8
2022-12-12,커핀그루나루 올림픽,"62,700",8
2022-12-15,롯데물산（주）롯데월,"67,000",4
2022-12-19,주식회사평창갈비,"140,000",5
2022-12-20,동태전문점,"18,000",2
2022-12-21,명일정,"42,000",3
2022-12-23,한국계방이직영 주식,"79,000",4
2022-12-26,해담,"50,000",2
2022-12-27,도미노피자잠실점,"499,200",50
2022-12-29,승일참치,"109,000",6
2022-12-29,코바치,"240,000",10
